long,lat,info
-1.866243482,52.47141801,*[1700WShiaPkstn]Idara Maarif-e-Islam Hussainia Mosque and Community Centre. Herbert Road. 0121 773 6212
-1.839255095,52.47424944,*[650WSalf]Al-Hijrah Mosque. 59-61 Hob Moor Road. 0121 766 5454
-1.864119172,52.47125625,*[200IrregSufi]The Zawiya. 1 Jenkins Street. not known
-1.845807731,52.47172518,*[200BrelPkstn]Al-Quraan Islamic Academic Centre. 140 Mansel Road. 0121 773 9604
-2.530787587,51.47329746,*[130WDeob]Quran Academy Bristol. 26 Abingdon Road. 07852 238463
-1.841400858,52.46961245,*[150BrelPkstn]Madrasa Mujadidia. 339 Somerville Road. 0121 766 7587
-0.062292293,51.51421691,*[Irreg]Ilm Centre. 11 Hessel Street. 07588 796792
-1.850783229,52.46994585,*[1050WBrelPkstn]Masjid Noor-ul-Uloom. 81-85 St Oswald Road. 0121 772 4774
-1.850865036,52.46484684,*[440WDeobPkstn]Jamiat ul Muslimin. 28 Tennyson Road. 0121 773 6094
-1.858164668,52.47034453,*[600Salf]Masjid as-Salafi. Wright Street. 0121 773 0033
-1.873662472,52.45733655,*[200Brel]Qadria Trust Masjid Community & Education Centre. 26 Alfred Street. 0121 688 0821
-1.857903153,52.44777667,*[130WBrelPkstn]Al Bokhari Education Centre. 2 Knowle Road and 10 Formans Road. 0121 778 2004
-1.862861216,52.44643533,*[60IrregBrel][Unsure] Anwar-e-Medina. 68 Nansen Road. 
-1.873413026,52.45447216,*[230WBrel]Amir-e-Millat Mosque and Community Centre. 144-146 Stoney Lane and 144A Stoney Lane. 0121 449 5695
-0.018292666,51.5151625,*[400NoWDeobBangla]Lansbury Masjid. 20 Alton Street. 
-1.784145087,53.78103332,*[300WSalf]Masjid As-Sunnah. 3 Paternoster Lane. 01274 501736
-1.812883616,52.48009472,*[50Brel]Jamia Masjid. 173-175 Albert Road. 0121 786 1918
-1.887921095,52.50314481,*[200Brel]Jamia Masjid Ghausia. 237 Albert Road. 0121 328 1108
-1.827785969,52.45255728,*[140WBrelPkstn]Madressa Islamia Mosque. 219-221 Alexander Road. 0121 603 5256
-1.858317554,52.49120973,*[150NoWBrelBangla]Ghausia Madrasa and Mosque. 19-21 Alum Rock Road. 0121 327 2286
-1.849361658,52.48856721,*[130WBrelPkstn]Madina Kashif-ul-Aloom. 239 Alum Rock Road. 
-1.842760857,52.48766131,*[900WMaudPkstn]UKIM - Jamia Mosque Birmingham. 401-403 Alum Rock Road and 2-8 Ludlow Road (corner site). 0121 326 9930
-0.734225214,51.99210575,*[300NoWDeobBangla]Bletchley Jamee Mosque. 48-52 Duncombe Street. 01908 367758
-1.86312,52.462614,*[1100WMaudPkstn]Sparkbrook Masjid & Islamic Centre. 179-187 Anderton Road and Sydenham Road. 0121 773 8651
-1.854972839,52.49753773,*[2700WDeob]Masjid Ali. Aston Church Road. 07968 440584
-3.022264838,53.75456297,"*[100NoWJDeob]Jumu'ah Salaah. St. Anne's YMCA, St Alban's Road. "
-1.890506,52.46497512,*[6000WDeobPkstn]Birmingham Central Mosque. 180 Belgrave Middleway and 148-154 Berners Street. 0121 440 5355
0.011160672,51.55524639,*[150WBangla]Cann Hall Deen and Education Trust. 145 Cann Hall Road. 020 8555 0963
-1.944118738,52.50394973,*[300NoWSufiBangla]Handsworth Mosque and Islamic Centre. 23 Booth Street. 0121 551 3049
-0.760214478,51.24485976,"*[200NoWBrelPkstn]Aldershot MWA. Harland Hall, 60 St Georges Road. "
-1.457607597,53.39316296,*[300ArabArab]Al-Rahman Mosque and Cultural Centre. 3 Ellesmere Road. none
-1.522470117,53.81581429,*[300DeobPkstn]Masjid Quba. 24 Shepherds Lane. 0113 307 0500
0.152354837,52.19694459,*[W]New site for Abu Bakr Jamia Mosque. 309-313 Mill Road. 01223 350134
-1.882953644,52.44935501,*[1480WDeobPkstn]Masjid-e-Hamza & Islamic Centre. 88-90 Church Road. 0121 449 1193
-1.885094047,52.45621697,*[1400WShiaGujrti]Clifton Mosque (KSIMC). 17 Clifton Road. 0121 440 5393
-1.850907952,52.48690126,*[200NoWBrelPkstn]Jamia Mosque Farooq-e-Azam Madrasa Ghousia. 74 College Road. 0121 326 4971
-1.962926388,52.48762155,*[600WBrelPkstn]Pakistani Muslim Community Centre. 1-7 Corbett Street. 0121 555 6047
-1.824261546,52.48652886,*[200Brel]Darul Uloom Samiah Arabiah Islamiah. 221-223 Cotterills Lane. 
-1.895715594,52.45837848,*[50]Islamic Resource Centre. 93 Court Road. 0121 440 3500
-1.429158747,55.00125052,*[500DeobBangla]Baitul Ma'mur Jame-e-Masjid and Islamic Center. 50 Baring Street. 0191 456 4663
-1.888965815,52.45471897,*[200BrelPkstn]Al-Quran Educational Centre. 17 Cromer Road. 
-1.934639812,52.44250015,*[150NoWSufiBangla]Jalalabad Mosque and Islamic Centre. 24-26 Dartmouth Road. 0121 471 1556
-2.002212703,52.5211548,"*[300NoWBrelPkstn]Jamia Community Association. 47, 47A & 47B Dartmouth Street. 07929 474098"
-1.638357639,54.9712281,*[400DeobBangla]Shah Jalal Masjid and Islamic Cultural Centre. 26-28 Sceptre Street. 0191 272 4505
-1.874536872,52.45206363,*[300Sufi]Hazrat Mujadid-Alf-e-Sani Mosque and Education Centre. 36 Dennis Road. 0121 449 7195
-0.398426056,51.49731235,"*[280WSalf]Darussalam Masjid. North Hyde House, North Hyde Wharf, Hayes Road. 020 8571 4848"
-0.024756789,51.49800699,*[150NoWDeobBangla]Westferry Community Organisation. 2 The Quarterdeck. 07825 373325
-1.941806674,52.48622343,*[1000WBrelPkstn]Masjid and Madressa Faiz-ul-Quran. 298 Dudley Road. 0121 455 6581
-0.569046736,51.42631012,"*[300WJ]Jumu'ah Salaah. Wettons Annexe, Royal Holloway University, Egham Hill. 07984 340799"
-1.900878847,52.45904938,*[200WDeobArab]Islamia Alouia Zawia. 294 Edward Road. 0121 440 1758
-1.893151403,52.50480035,*[500NoWSufiBangla]Shahjalal ( R ) Sunnia Mosque & Islamic Community Centre. 108 Ettington Road. 0121 326 0337
-1.862715,52.460195,*[400IrregDeob]Jamia Islamia Birmingham. Fallows Road. 0121 772 6400
-2.457675934,53.5671692,"*[300DeobGujrti]Al-Jamiah Al-Islamiyah. Mount St Joseph's Convent, Willows Lane. 01204 301550"
-1.909000576,52.50471219,*[300DeobBangla]Masjid As-Safa. 76 Finch Road and 1 Archibald Road. 0121 551 9128
-1.836280525,52.46387861,*[200WDeobBangla]Daarul Jannah Community Centre And Masjid. 1034a Coventry Road. 07757 495702
-5.691309571,54.59209711,*[40DeobBangla]Bangladesh Islamic Community Centre. 24 Greenwell Street. 028 9181 0566
-1.807422638,53.81671689,*[50BrelPkstn]Jamiyat Tabligh-ul-Islam Haworth Road. Haworth Road. 
-1.863200516,52.44505552,*[260WIrregDeobPkstn]Islamic Cultural and Educational Centre. 96-98 Greswolde Road. 0121 702 2969
-1.851047427,52.49017675,*[100BrelPkstn]Islamic Education Centre. 172-174 Havelock Road. 
-1.758348942,53.80070152,"*[Deob]Jamiah Khatamun Nabiyeen Society. 15-17 Spring Gardens, Manningham Lane. 01274 733150"
-1.758018279,53.78739612,*[100Shia]Bohra Muslim Society. 47 Elizabeth Street. 01274 725119
0.018912256,51.53645431,*[150Salf]Masjid Abdul Aziz Bin Baz. 2 East Road. 
-1.778020263,53.79111978,*[600Salf]Al-Hudaa Masjid. 119 Legrams Lane. 01274 503727
-1.769142151,53.78420461,*[8000BrelPkstn]Al-Jamia Suffa-Tul-Islam Grand Mosque. Horton Park Avenue. 01274 732497
-1.779227257,53.81071184,*[Deob][Unsure] Madrassah Misbah Uloom. 27 Temple Street. 01274 480719
-1.966112852,52.50057812,"*[850WDeobBangla]Jami Mosjid and Islamic Centre. 10-11 Lewisham Road, Middlemore Industrial Estate. 0121 558 8204"
-2.034911513,52.47090987,*[250WMaud]Umar Mosque and Community Centre. 314-318 Long Lane. 0121 559 1896
-1.913659573,52.50317747,*[2200WBrelPkstn]Faizul Qur'an Jamia Masjid. 213-217 Lozells Road. 0121 523 0810
-1.790905595,53.80886676,*[Deob]Islamic Cultural Educational Centre. 190 Toller Lane. 
-1.849026382,52.45408151,*[100Brel]Idara Misbah-ul-Qur'an (Int). 38 Manor Farm Road. 
-1.911175847,52.50377503,*[470WDeobBangla]Bangladesh Islamic Centre. 8 Mayfield Road. 0121 507 0817
-1.783792377,53.80892537,*[IrregGujrti][Unsure] Surti Muslim Khalifa Society. 14 Farfield Street. 01274 494674
-1.885877252,52.45628888,*[300NoWDeobBangla]Madina Mosque. 526-528 Moseley Road. 0121 446 4718
